"","","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","2009","2009","2008","2008","2007","2007","2006","2006","2005","2005","2004","2004","2003","2003","2002","2002","2001","2001","2000","2000"
"Indicator","Age Group"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"
"nMx - age-specific death rate between ages x and x+n"," &lt;1 year","0.066","0.08","0.067","0.082","0.069","0.083","0.069","0.084","0.069","0.084","0.072","0.087","0.076","0.092","0.082","0.099","0.082","0.099","0.085","0.102","0.086","0.103","0.085","0.103","0.085","0.102","0.084","0.101","0.082","0.099","0.081","0.098"
"nMx - age-specific death rate between ages x and x+n"," 1-4 years","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.007","0.007","0.007","0.007","0.007","0.008","0.009","0.009","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.009","0.01","0.009","0.01","0.009","0.01","0.009","0.009"
"nMx - age-specific death rate between ages x and x+n"," 5-9 years","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.002"
"nMx - age-specific death rate between ages x and x+n"," 10-14 years","0.001","0.002","0.001","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.001","0.002","0.001","0.002","0.001","0.002","0.001","0.002","0.001","0.002"
"nMx - age-specific death rate between ages x and x+n"," 15-19  years","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.003"
"nMx - age-specific death rate between ages x and x+n"," 20-24 years","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.004","0.005","0.004","0.005","0.004","0.005","0.005","0.006","0.005","0.006","0.005","0.006","0.005","0.006","0.005"
"nMx - age-specific death rate between ages x and x+n"," 25-29 years","0.007","0.006","0.008","0.007","0.008","0.007","0.008","0.007","0.008","0.007","0.009","0.007","0.011","0.008","0.012","0.009","0.014","0.01","0.015","0.011","0.017","0.012","0.018","0.012","0.017","0.013","0.017","0.012","0.015","0.012","0.014","0.011"
"nMx - age-specific death rate between ages x and x+n"," 30-34 years","0.011","0.011","0.013","0.012","0.013","0.012","0.014","0.012","0.013","0.013","0.015","0.014","0.019","0.015","0.021","0.017","0.025","0.019","0.027","0.021","0.029","0.023","0.027","0.022","0.025","0.021","0.023","0.02","0.02","0.018","0.017","0.016"
"nMx - age-specific death rate between ages x and x+n"," 35-39 years","0.018","0.019","0.021","0.022","0.021","0.023","0.022","0.022","0.02","0.023","0.023","0.025","0.029","0.026","0.031","0.028","0.034","0.031","0.035","0.034","0.037","0.036","0.036","0.035","0.033","0.034","0.03","0.031","0.026","0.027","0.021","0.023"
"nMx - age-specific death rate between ages x and x+n"," 40-44 years","0.02","0.024","0.023","0.028","0.022","0.027","0.022","0.026","0.02","0.026","0.022","0.028","0.027","0.03","0.03","0.032","0.033","0.036","0.034","0.038","0.035","0.039","0.033","0.037","0.031","0.034","0.028","0.032","0.024","0.028","0.021","0.024"
"nMx - age-specific death rate between ages x and x+n"," 45-49 years","0.019","0.027","0.022","0.03","0.021","0.03","0.021","0.029","0.019","0.028","0.021","0.029","0.024","0.029","0.026","0.031","0.029","0.033","0.03","0.036","0.032","0.037","0.031","0.036","0.029","0.034","0.027","0.031","0.024","0.028","0.021","0.025"
"nMx - age-specific death rate between ages x and x+n"," 50-54 years","0.019","0.028","0.02","0.03","0.02","0.029","0.02","0.028","0.019","0.027","0.02","0.028","0.024","0.029","0.026","0.03","0.029","0.033","0.031","0.035","0.033","0.037","0.032","0.036","0.031","0.035","0.029","0.033","0.027","0.03","0.024","0.027"
"nMx - age-specific death rate between ages x and x+n"," 55-59 years","0.02","0.029","0.021","0.03","0.021","0.029","0.021","0.029","0.02","0.028","0.021","0.029","0.024","0.03","0.026","0.031","0.028","0.033","0.03","0.035","0.032","0.036","0.032","0.036","0.031","0.035","0.03","0.033","0.027","0.032","0.025","0.03"
"nMx - age-specific death rate between ages x and x+n"," 60-64 years","0.024","0.034","0.026","0.036","0.026","0.035","0.026","0.035","0.025","0.035","0.026","0.036","0.028","0.036","0.03","0.037","0.032","0.038","0.033","0.039","0.035","0.04","0.034","0.041","0.033","0.04","0.031","0.04","0.03","0.039","0.028","0.037"
