"","","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","2009","2009","2008","2008","2007","2007","2006","2006","2005","2005","2004","2004","2003","2003","2002","2002","2001","2001","2000","2000"
"Indicator","Age Group"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"
"nMx - age-specific death rate between ages x and x+n"," &lt;1 year","0.041","0.049","0.042","0.05","0.045","0.053","0.048","0.056","0.051","0.06","0.055","0.064","0.057","0.067","0.059","0.069","0.062","0.072","0.065","0.076","0.069","0.08","0.074","0.085","0.08","0.092","0.088","0.101","0.096","0.11","0.104","0.118"
"nMx - age-specific death rate between ages x and x+n"," 1-4 years","0.005","0.006","0.006","0.006","0.006","0.007","0.007","0.008","0.008","0.009","0.009","0.009","0.01","0.01","0.01","0.011","0.011","0.012","0.012","0.012","0.012","0.013","0.014","0.014","0.015","0.016","0.017","0.018","0.019","0.02","0.021","0.022"
"nMx - age-specific death rate between ages x and x+n"," 5-9 years","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.002","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.003","0.004","0.003","0.004"
"nMx - age-specific death rate between ages x and x+n"," 10-14 years","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002"
"nMx - age-specific death rate between ages x and x+n"," 15-19  years","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003"
"nMx - age-specific death rate between ages x and x+n"," 20-24 years","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.005","0.005","0.005"
"nMx - age-specific death rate between ages x and x+n"," 25-29 years","0.004","0.004","0.004","0.004","0.005","0.004","0.005","0.004","0.006","0.004","0.006","0.005","0.007","0.005","0.008","0.005","0.009","0.006","0.011","0.006","0.012","0.007","0.013","0.007","0.013","0.008","0.014","0.008","0.014","0.008","0.014","0.008"
"nMx - age-specific death rate between ages x and x+n"," 30-34 years","0.006","0.006","0.007","0.006","0.008","0.006","0.009","0.007","0.01","0.008","0.011","0.008","0.013","0.009","0.015","0.01","0.018","0.011","0.021","0.012","0.023","0.013","0.024","0.014","0.024","0.014","0.024","0.014","0.024","0.014","0.023","0.014"
"nMx - age-specific death rate between ages x and x+n"," 35-39 years","0.01","0.01","0.011","0.011","0.013","0.012","0.015","0.014","0.018","0.015","0.02","0.017","0.023","0.018","0.026","0.02","0.03","0.023","0.034","0.025","0.038","0.027","0.039","0.029","0.039","0.029","0.038","0.029","0.036","0.029","0.034","0.028"
"nMx - age-specific death rate between ages x and x+n"," 40-44 years","0.013","0.015","0.014","0.017","0.015","0.018","0.018","0.02","0.02","0.023","0.022","0.025","0.025","0.028","0.029","0.032","0.033","0.036","0.036","0.039","0.038","0.041","0.038","0.043","0.037","0.043","0.035","0.042","0.033","0.042","0.031","0.041"
"nMx - age-specific death rate between ages x and x+n"," 45-49 years","0.014","0.02","0.015","0.021","0.016","0.023","0.018","0.025","0.019","0.027","0.02","0.029","0.022","0.031","0.025","0.035","0.027","0.038","0.03","0.041","0.031","0.043","0.031","0.043","0.03","0.042","0.029","0.041","0.027","0.039","0.026","0.036"
"nMx - age-specific death rate between ages x and x+n"," 50-54 years","0.015","0.022","0.015","0.023","0.015","0.023","0.016","0.025","0.017","0.025","0.018","0.026","0.019","0.028","0.021","0.03","0.023","0.032","0.025","0.033","0.027","0.033","0.027","0.033","0.027","0.032","0.026","0.03","0.025","0.029","0.025","0.028"
"nMx - age-specific death rate between ages x and x+n"," 55-59 years","0.015","0.023","0.015","0.023","0.015","0.023","0.016","0.023","0.016","0.023","0.017","0.024","0.018","0.024","0.019","0.025","0.02","0.026","0.022","0.027","0.023","0.027","0.024","0.027","0.024","0.027","0.024","0.027","0.024","0.027","0.024","0.027"
"nMx - age-specific death rate between ages x and x+n"," 60-64 years","0.019","0.027","0.019","0.027","0.02","0.027","0.02","0.028","0.02","0.028","0.021","0.028","0.022","0.029","0.023","0.03","0.024","0.031","0.025","0.032","0.026","0.032","0.027","0.033","0.028","0.033","0.028","0.033","0.028","0.034","0.028","0.034"
