"","","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","2009","2009","2008","2008","2007","2007","2006","2006","2005","2005","2004","2004","2003","2003","2002","2002","2001","2001","2000","2000"
"Indicator","Age Group"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"
"nMx - age-specific death rate between ages x and x+n"," &lt;1 year","0.028","0.035","0.03","0.037","0.032","0.039","0.034","0.042","0.037","0.045","0.041","0.049","0.045","0.053","0.049","0.058","0.054","0.064","0.061","0.071","0.068","0.08","0.076","0.088","0.085","0.098","0.094","0.108","0.103","0.118","0.111","0.126"
"nMx - age-specific death rate between ages x and x+n"," 1-4 years","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.004","0.004","0.005","0.005","0.006","0.006","0.006","0.007","0.007","0.008","0.009","0.01","0.01","0.011","0.011","0.013","0.013","0.015","0.016","0.017","0.018","0.019","0.02","0.021","0.023"
"nMx - age-specific death rate between ages x and x+n"," 5-9 years","0.001","0.004","0.001","0.004","0.001","0.004","0.001","0.005","0.001","0.005","0.001","0.005","0.001","0.006","0.001","0.006","0.002","0.006","0.002","0.007","0.002","0.007","0.002","0.008","0.002","0.008","0.002","0.008","0.002","0.009","0.002","0.009"
"nMx - age-specific death rate between ages x and x+n"," 10-14 years","0.001","0.002","0.001","0.003","0.001","0.003","0.001","0.003","0.001","0.003","0.001","0.003","0.001","0.003","0.001","0.003","0.001","0.004","0.001","0.004","0.001","0.004","0.001","0.004","0.001","0.004","0.001","0.004","0.002","0.005","0.001","0.005"
"nMx - age-specific death rate between ages x and x+n"," 15-19  years","0.001","0.003","0.001","0.003","0.001","0.004","0.001","0.004","0.001","0.004","0.001","0.004","0.002","0.004","0.001","0.004","0.001","0.004","0.002","0.004","0.002","0.005","0.002","0.005","0.002","0.005","0.002","0.005","0.002","0.006","0.002","0.006"
"nMx - age-specific death rate between ages x and x+n"," 20-24 years","0.002","0.005","0.002","0.005","0.002","0.005","0.002","0.005","0.002","0.005","0.002","0.006","0.002","0.007","0.002","0.006","0.002","0.006","0.002","0.006","0.002","0.007","0.002","0.007","0.002","0.007","0.003","0.007","0.003","0.009","0.003","0.008"
"nMx - age-specific death rate between ages x and x+n"," 25-29 years","0.002","0.005","0.002","0.005","0.002","0.005","0.002","0.005","0.002","0.006","0.002","0.006","0.003","0.007","0.003","0.006","0.003","0.007","0.003","0.007","0.004","0.008","0.005","0.008","0.005","0.009","0.005","0.009","0.006","0.011","0.006","0.01"
"nMx - age-specific death rate between ages x and x+n"," 30-34 years","0.002","0.006","0.002","0.006","0.002","0.006","0.002","0.006","0.003","0.006","0.003","0.007","0.003","0.008","0.003","0.007","0.004","0.008","0.005","0.009","0.007","0.01","0.008","0.011","0.008","0.011","0.009","0.012","0.009","0.014","0.009","0.013"
"nMx - age-specific death rate between ages x and x+n"," 35-39 years","0.003","0.007","0.003","0.007","0.003","0.007","0.003","0.007","0.003","0.008","0.004","0.008","0.005","0.01","0.005","0.009","0.005","0.01","0.007","0.012","0.01","0.014","0.011","0.015","0.011","0.016","0.011","0.016","0.011","0.017","0.01","0.016"
"nMx - age-specific death rate between ages x and x+n"," 40-44 years","0.004","0.008","0.004","0.008","0.004","0.009","0.004","0.009","0.004","0.009","0.005","0.01","0.006","0.012","0.006","0.011","0.006","0.012","0.007","0.014","0.009","0.016","0.011","0.018","0.011","0.019","0.012","0.02","0.013","0.022","0.012","0.022"
"nMx - age-specific death rate between ages x and x+n"," 45-49 years","0.005","0.01","0.005","0.01","0.005","0.01","0.005","0.011","0.005","0.011","0.005","0.012","0.006","0.013","0.006","0.013","0.007","0.015","0.008","0.017","0.01","0.02","0.012","0.022","0.012","0.022","0.012","0.022","0.012","0.023","0.012","0.022"
"nMx - age-specific death rate between ages x and x+n"," 50-54 years","0.006","0.013","0.006","0.014","0.007","0.014","0.007","0.014","0.007","0.015","0.007","0.016","0.008","0.017","0.008","0.017","0.008","0.018","0.009","0.019","0.011","0.022","0.012","0.023","0.013","0.024","0.013","0.024","0.013","0.025","0.013","0.025"
"nMx - age-specific death rate between ages x and x+n"," 55-59 years","0.009","0.018","0.009","0.018","0.009","0.018","0.009","0.018","0.009","0.019","0.009","0.019","0.01","0.02","0.01","0.02","0.01","0.021","0.011","0.023","0.012","0.024","0.013","0.026","0.013","0.026","0.013","0.026","0.014","0.027","0.014","0.027"
"nMx - age-specific death rate between ages x and x+n"," 60-64 years","0.013","0.025","0.013","0.025","0.013","0.026","0.014","0.026","0.014","0.027","0.014","0.027","0.015","0.028","0.015","0.028","0.015","0.029","0.016","0.03","0.017","0.032","0.018","0.033","0.018","0.034","0.019","0.035","0.02","0.037","0.02","0.037"
