"","","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","2009","2009","2008","2008","2007","2007","2006","2006","2005","2005","2004","2004","2003","2003","2002","2002","2001","2001","2000","2000"
"Indicator","Age Group"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"
"nMx - age-specific death rate between ages x and x+n"," &lt;1 year","0.085","0.1","0.089","0.104","0.093","0.108","0.097","0.112","0.101","0.118","0.107","0.124","0.112","0.129","0.117","0.135","0.121","0.14","0.126","0.145","0.13","0.15","0.134","0.154","0.138","0.158","0.141","0.161","0.145","0.165","0.148","0.168"
"nMx - age-specific death rate between ages x and x+n"," 1-4 years","0.014","0.014","0.013","0.014","0.011","0.012","0.012","0.013","0.014","0.014","0.015","0.016","0.017","0.018","0.018","0.019","0.02","0.021","0.021","0.022","0.022","0.024","0.023","0.025","0.025","0.026","0.026","0.028","0.027","0.029","0.028","0.03"
"nMx - age-specific death rate between ages x and x+n"," 5-9 years","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.007","0.007","0.007","0.007","0.007","0.007","0.008","0.007","0.008","0.008","0.009","0.008","0.01","0.008","0.01","0.009","0.01","0.01","0.01","0.012","0.01"
"nMx - age-specific death rate between ages x and x+n"," 10-14 years","0.003","0.003","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.004","0.005","0.004","0.005","0.005","0.005","0.005","0.005","0.006","0.006"
"nMx - age-specific death rate between ages x and x+n"," 15-19  years","0.005","0.005","0.006","0.006","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.007","0.006","0.007","0.006","0.008","0.007","0.008","0.007","0.008","0.008","0.008","0.009","0.008"
"nMx - age-specific death rate between ages x and x+n"," 20-24 years","0.008","0.008","0.009","0.009","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.009","0.009","0.009","0.009","0.009","0.009","0.01","0.01","0.011","0.01","0.011","0.01","0.012","0.011","0.012","0.011","0.012","0.012","0.013"
"nMx - age-specific death rate between ages x and x+n"," 25-29 years","0.008","0.008","0.009","0.01","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.009","0.009","0.009","0.009","0.009","0.009","0.01","0.009","0.011","0.01","0.011","0.01","0.012","0.011","0.012","0.011","0.012","0.013","0.013"
"nMx - age-specific death rate between ages x and x+n"," 30-34 years","0.008","0.008","0.01","0.01","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.009","0.009","0.009","0.009","0.009","0.009","0.01","0.009","0.01","0.01","0.011","0.01","0.012","0.01","0.012","0.011","0.012","0.012","0.012","0.013","0.013"
"nMx - age-specific death rate between ages x and x+n"," 35-39 years","0.009","0.01","0.012","0.012","0.009","0.009","0.009","0.009","0.009","0.009","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.011","0.01","0.011","0.011","0.012","0.011","0.013","0.011","0.013","0.012","0.014","0.013","0.013","0.014","0.014"
"nMx - age-specific death rate between ages x and x+n"," 40-44 years","0.011","0.012","0.013","0.015","0.011","0.011","0.011","0.011","0.011","0.011","0.012","0.012","0.012","0.012","0.012","0.013","0.012","0.013","0.013","0.014","0.013","0.015","0.014","0.015","0.014","0.016","0.015","0.016","0.015","0.016","0.016","0.017"
"nMx - age-specific death rate between ages x and x+n"," 45-49 years","0.013","0.014","0.016","0.017","0.013","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.014","0.015","0.015","0.015","0.015","0.016","0.015","0.016","0.016","0.017","0.017","0.018","0.017","0.019","0.017","0.019","0.017","0.019","0.017","0.02"
"nMx - age-specific death rate between ages x and x+n"," 50-54 years","0.018","0.019","0.02","0.021","0.018","0.018","0.018","0.018","0.018","0.019","0.019","0.019","0.019","0.019","0.019","0.02","0.02","0.021","0.02","0.021","0.021","0.023","0.022","0.024","0.023","0.025","0.023","0.025","0.023","0.025","0.023","0.025"
"nMx - age-specific death rate between ages x and x+n"," 55-59 years","0.024","0.025","0.026","0.028","0.025","0.025","0.025","0.025","0.025","0.026","0.026","0.026","0.026","0.027","0.026","0.027","0.027","0.028","0.028","0.029","0.029","0.031","0.03","0.032","0.03","0.033","0.031","0.033","0.031","0.033","0.031","0.034"
"nMx - age-specific death rate between ages x and x+n"," 60-64 years","0.037","0.038","0.04","0.041","0.037","0.037","0.037","0.038","0.038","0.038","0.038","0.039","0.039","0.04","0.04","0.041","0.04","0.042","0.041","0.043","0.042","0.046","0.043","0.048","0.044","0.049","0.046","0.05","0.047","0.05","0.049","0.05"
