"","","2015","2015","2014","2014","2013","2013","2012","2012","2011","2011","2010","2010","2009","2009","2008","2008","2007","2007","2006","2006","2005","2005","2004","2004","2003","2003","2002","2002","2001","2001","2000","2000"
"Indicator","Age Group"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"," Female"," Male"
"nMx - age-specific death rate between ages x and x+n"," &lt;1 year","0.041","0.049","0.042","0.051","0.044","0.053","0.046","0.056","0.048","0.058","0.05","0.06","0.053","0.063","0.056","0.067","0.059","0.07","0.063","0.074","0.066","0.078","0.072","0.084","0.078","0.092","0.085","0.099","0.092","0.107","0.097","0.112"
"nMx - age-specific death rate between ages x and x+n"," 1-4 years","0.005","0.006","0.005","0.006","0.006","0.007","0.006","0.007","0.007","0.008","0.007","0.008","0.008","0.009","0.009","0.01","0.01","0.01","0.01","0.011","0.011","0.012","0.012","0.014","0.014","0.015","0.015","0.017","0.017","0.018","0.018","0.02"
"nMx - age-specific death rate between ages x and x+n"," 5-9 years","0.002","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.003","0.004","0.003","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.004","0.005","0.005","0.005"
"nMx - age-specific death rate between ages x and x+n"," 10-14 years","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003"
"nMx - age-specific death rate between ages x and x+n"," 15-19  years","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.004"
"nMx - age-specific death rate between ages x and x+n"," 20-24 years","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.004","0.003","0.005","0.004","0.005","0.004","0.005","0.004","0.005","0.004","0.005","0.004","0.005","0.004","0.005","0.004","0.005","0.005","0.006","0.005","0.006"
"nMx - age-specific death rate between ages x and x+n"," 25-29 years","0.004","0.005","0.004","0.005","0.004","0.005","0.005","0.006","0.005","0.006","0.005","0.006","0.005","0.006","0.006","0.007","0.007","0.008","0.008","0.008","0.009","0.009","0.009","0.009","0.01","0.01","0.011","0.01","0.011","0.011","0.012","0.011"
"nMx - age-specific death rate between ages x and x+n"," 30-34 years","0.005","0.007","0.005","0.007","0.006","0.007","0.006","0.008","0.007","0.008","0.007","0.008","0.007","0.009","0.009","0.01","0.012","0.012","0.014","0.014","0.015","0.015","0.017","0.016","0.018","0.017","0.019","0.018","0.019","0.019","0.02","0.02"
"nMx - age-specific death rate between ages x and x+n"," 35-39 years","0.006","0.01","0.006","0.011","0.008","0.011","0.009","0.012","0.011","0.013","0.011","0.013","0.011","0.013","0.013","0.015","0.019","0.021","0.022","0.024","0.025","0.026","0.028","0.029","0.03","0.031","0.031","0.032","0.03","0.033","0.03","0.033"
"nMx - age-specific death rate between ages x and x+n"," 40-44 years","0.007","0.012","0.008","0.013","0.009","0.013","0.011","0.014","0.012","0.016","0.012","0.015","0.012","0.016","0.015","0.019","0.022","0.025","0.025","0.029","0.027","0.031","0.028","0.033","0.03","0.036","0.03","0.037","0.029","0.037","0.029","0.037"
"nMx - age-specific death rate between ages x and x+n"," 45-49 years","0.008","0.014","0.009","0.014","0.01","0.015","0.011","0.016","0.012","0.017","0.012","0.016","0.012","0.017","0.014","0.02","0.019","0.026","0.021","0.029","0.023","0.031","0.024","0.033","0.026","0.036","0.026","0.036","0.025","0.036","0.025","0.036"
"nMx - age-specific death rate between ages x and x+n"," 50-54 years","0.01","0.016","0.01","0.016","0.011","0.017","0.012","0.017","0.012","0.018","0.012","0.017","0.012","0.018","0.014","0.02","0.017","0.025","0.019","0.028","0.021","0.03","0.022","0.032","0.024","0.034","0.024","0.034","0.024","0.034","0.024","0.034"
"nMx - age-specific death rate between ages x and x+n"," 55-59 years","0.012","0.018","0.012","0.018","0.013","0.018","0.013","0.019","0.014","0.019","0.014","0.019","0.014","0.019","0.015","0.02","0.017","0.024","0.019","0.025","0.02","0.027","0.021","0.028","0.022","0.03","0.023","0.03","0.023","0.031","0.024","0.031"
"nMx - age-specific death rate between ages x and x+n"," 60-64 years","0.017","0.024","0.017","0.024","0.018","0.024","0.018","0.024","0.019","0.025","0.019","0.024","0.019","0.025","0.02","0.026","0.022","0.028","0.023","0.03","0.024","0.031","0.025","0.032","0.026","0.033","0.027","0.034","0.027","0.035","0.028","0.036"
